vector_type,condition,optimal_intensity,baseline_accuracy,best_steered_accuracy,max_improvement,num_samples
backward_belief,0_backward_belief_false_belief,700,0.4,0.6,0.19999999999999996,10
backward_belief,0_backward_belief_true_belief,1300,0.3,0.3,0.0,10
backward_belief,1_backward_belief_false_belief,1300,0.8,0.9,0.09999999999999998,10
backward_belief,1_backward_belief_true_belief,1900,0.0,0.1,0.1,10
belief_type,0_backward_belief_false_belief,1300,0.4,0.4,0.0,10
belief_type,0_forward_belief_false_belief,1900,0.8,0.8,0.0,10
core_capabilities,0_backward_belief_false_belief,1900,0.4,0.6,0.19999999999999996,10
direction,0_backward_belief_false_belief,1900,0.4,0.6,0.19999999999999996,10
direction,0_forward_action_false_belief,1300,0.4,0.3,-0.10000000000000003,10
forward_action,0_forward_action_false_belief,1300,0.4,0.3,-0.10000000000000003,10
forward_action,0_forward_action_true_belief,2500,0.7,0.6,-0.09999999999999998,10
forward_action,1_forward_action_false_belief,1300,0.2,0.4,0.2,10
forward_action,1_forward_action_true_belief,2500,0.6,0.8,0.20000000000000007,10
forward_belief,0_forward_belief_false_belief,1300,0.8,0.8,0.0,10
forward_belief,0_forward_belief_true_belief,700,0.5,0.4,-0.09999999999999998,10
forward_belief,1_forward_belief_false_belief,1300,0.9,0.9,0.0,10
forward_belief,1_forward_belief_true_belief,1900,0.1,0.2,0.1,10
general,0_backward_belief_false_belief,700,0.4,0.4,0.0,10
general,0_forward_action_false_belief,700,0.4,0.5,0.09999999999999998,10
general,0_forward_belief_false_belief,1300,0.8,0.6,-0.20000000000000007,10
